"category","month_year","volume_product","sales_product"
moveis_escritorio,"08-2018",30,6758.87
pcs,"07-2018",8,11239.0
portateis_casa_forno_e_cafe,"06-2017",1,71.9
fashion_roupa_masculina,"06-2017",10,569.69
automotivo,"10-2016",12,1833.25
relogios_presentes,"10-2016",5,3360.24
audio,"08-2018",26,2069.4
la_cuisine,"03-2018",1,389.0
industria_comercio_e_negocios,"08-2017",3,956.9
livros_interesse_geral,"02-2017",8,772.71
fashion_underwear_e_moda_praia,"02-2018",7,399.3
fashion_underwear_e_moda_praia,"01-2018",8,754.5
eletrodomesticos_2,"03-2018",12,5648.2
instrumentos_musicais,"04-2018",60,19375.31
casa_conforto,"07-2017",43,4563.85
cine_foto,"06-2018",13,435.85
consoles_games,"01-2017",23,5954.2
telefonia_fixa,"02-2018",12,6138.67
eletrodomesticos,"10-2017",8,1951.08
construcao_ferramentas_construcao,"09-2017",11,1289.2
eletrodomesticos,"09-2017",10,1820.19
moveis_quarto,"06-2018",9,1559.99
construcao_ferramentas_ferramentas,"10-2017",5,1018.6
construcao_ferramentas_iluminacao,"02-2018",17,1610.8
telefonia_fixa,"03-2018",14,1930.59
artigos_de_festas,"09-2017",2,269.8
telefonia_fixa,"04-2018",11,1921.94
dvds_blu_ray,"06-2018",6,382.88
telefonia_fixa,"01-2017",22,677.12
fashion_esporte,"01-2018",2,119.8
pcs,"08-2018",12,8711.5
moveis_cozinha_area_de_servico_jantar_e_jardim,"10-2017",16,3428.6
fashion_underwear_e_moda_praia,"04-2018",6,359.4
fashion_calcados,"04-2017",23,1526.5
eletrodomesticos,"01-2018",28,1795.05
alimentos_bebidas,"03-2018",19,2350.77
fashion_roupa_masculina,"02-2018",3,388.09
artigos_de_natal,"02-2018",24,2059.65
telefonia_fixa,"04-2017",11,2998.33
fashion_calcados,"04-2018",11,1438.7
climatizacao,"01-2017",4,663.7
telefonia_fixa,"11-2017",5,943.98
telefonia_fixa,"10-2017",7,3751.88
fashion_calcados,"08-2018",3,471.3
dvds_blu_ray,"10-2017",5,194.5
portateis_cozinha_e_preparadores_de_alimentos,"07-2018",8,172.03
eletroportateis,"05-2017",18,5241.44
climatizacao,"10-2016",10,1707.09
casa_conforto,"05-2017",37,5293.87
construcao_ferramentas_seguranca,"05-2018",29,7298.51
construcao_ferramentas_ferramentas,"04-2018",17,1332.99
eletroportateis,"01-2017",6,1660.79
audio,"10-2017",32,2348.48
market_place,"11-2017",16,1355.98
eletrodomesticos,"03-2017",10,313.3
eletrodomesticos_2,"09-2017",6,1627.8
eletroportateis,"06-2017",23,9698.81
fashion_underwear_e_moda_praia,"12-2017",13,1173.1
"","10-2016",2,65.89
cool_stuff,"10-2016",8,1111.0
consoles_games,"04-2017",17,3772.88
casa_conforto,"04-2017",17,2411.1
instrumentos_musicais,"04-2017",16,3818.43
artigos_de_natal,"09-2017",4,254.7
fashion_roupa_masculina,"10-2017",11,1041.8
fashion_roupa_masculina,"01-2018",6,550.6
moveis_colchao_e_estofado,"02-2018",6,389.4
moveis_cozinha_area_de_servico_jantar_e_jardim,"07-2017",11,1316.5
eletrodomesticos_2,"12-2017",8,1990.16
livros_tecnicos,"10-2017",6,880.0
cine_foto,"05-2018",18,2277.29
telefonia_fixa,"12-2017",5,998.77
consoles_games,"10-2016",10,3882.26
fashion_roupa_masculina,"02-2017",7,642.85
moveis_colchao_e_estofado,"12-2017",8,803.7
moveis_quarto,"03-2018",6,1071.8
moveis_colchao_e_estofado,"05-2017",3,595.89
ferramentas_jardim,"10-2016",5,1359.88
artigos_de_festas,"03-2018",6,913.9
moveis_cozinha_area_de_servico_jantar_e_jardim,"04-2017",9,1033.4
fashion_calcados,"11-2017",20,1777.7
fashion_esporte,"03-2018",1,89.9
livros_interesse_geral,"04-2017",12,923.38
construcao_ferramentas_construcao,"02-2017",3,336.79
industria_comercio_e_negocios,"01-2018",19,3662.0
moveis_cozinha_area_de_servico_jantar_e_jardim,"03-2017",3,113.98
fashion_roupa_infanto_juvenil,"06-2017",1,110.0
sinalizacao_e_seguranca,"04-2017",3,128.06
eletrodomesticos_2,"11-2017",13,4854.93
fashion_underwear_e_moda_praia,"07-2018",2,109.8
artigos_de_natal,"12-2017",16,493.9
moveis_cozinha_area_de_servico_jantar_e_jardim,"05-2017",9,1304.48
livros_tecnicos,"06-2017",2,145.9
fashion_roupa_masculina,"03-2017",9,580.8
sinalizacao_e_seguranca,"09-2017",9,438.4
eletrodomesticos_2,"10-2017",10,2803.17
industria_comercio_e_negocios,"10-2016",4,359.6
telefonia_fixa,"05-2017",10,462.33
construcao_ferramentas_ferramentas,"05-2018",5,417.9
telefonia_fixa,"07-2018",11,9319.39
casa_conforto,"12-2017",14,2257.8
sinalizacao_e_seguranca,"08-2017",4,377.8
fashion_esporte,"10-2017",1,59.9
livros_interesse_geral,"07-2017",13,1292.4
portateis_casa_forno_e_cafe,"04-2018",15,13980.98
alimentos_bebidas,"09-2017",9,310.86
alimentos_bebidas,"07-2018",18,813.73
casa_conforto,"10-2017",27,3619.8
fashion_esporte,"05-2017",3,124.84
agro_industria_e_comercio,"10-2017",5,3350.28
construcao_ferramentas_jardim,"10-2017",9,746.9
alimentos_bebidas,"05-2018",25,1239.44
construcao_ferramentas_ferramentas,"06-2018",4,527.0
construcao_ferramentas_iluminacao,"06-2018",44,4583.41
alimentos_bebidas,"06-2018",11,293.85
musica,"05-2018",5,729.0
agro_industria_e_comercio,"06-2018",10,3515.8
flores,"04-2018",3,158.4
market_place,"05-2018",14,957.45
sinalizacao_e_seguranca,"01-2018",8,1048.79
audio,"01-2018",26,3820.28
audio,"02-2018",15,2828.49
audio,"05-2018",21,2697.68
fraldas_higiene,"04-2018",4,149.0
moveis_quarto,"04-2018",8,1470.9
flores,"11-2017",6,187.8
pcs,"11-2017",7,9768.0
flores,"02-2018",4,134.48
pcs,"10-2017",27,40393.92
fraldas_higiene,"08-2018",3,231.89
fraldas_higiene,"07-2018",4,149.8
audio,"03-2018",34,10606.69
audio,"12-2017",17,2686.93
moveis_quarto,"01-2018",5,914.8
construcao_ferramentas_jardim,"06-2017",4,434.69
eletrodomesticos_2,"03-2017",2,500.9
eletrodomesticos_2,"06-2018",19,8312.72
moveis_quarto,"10-2017",4,1193.9
dvds_blu_ray,"02-2018",1,24.9
casa_construcao,"05-2017",7,1620.5
casa_construcao,"06-2017",8,1992.3
fashion_roupa_feminina,"05-2017",5,422.4
pcs,"01-2018",12,7450.0
audio,"07-2018",22,2062.64
construcao_ferramentas_iluminacao,"03-2018",13,2536.7
fashion_underwear_e_moda_praia,"07-2017",3,274.8
sinalizacao_e_seguranca,"11-2017",5,596.79
audio,"06-2018",20,1830.69
pcs,"09-2017",41,52878.88
moveis_quarto,"02-2018",8,1094.8
moveis_sala,"12-2017",20,2316.01
fashion_roupa_infanto_juvenil,"08-2017",1,49.9
casa_conforto,"01-2018",18,3020.16
audio,"02-2017",5,163.8
moveis_quarto,"05-2018",6,1484.98
artigos_de_natal,"06-2018",7,306.19
flores,"01-2018",10,284.6
livros_importados,"01-2018",6,583.0
fashion_roupa_feminina,"01-2017",2,77.3
sinalizacao_e_seguranca,"12-2017",2,770.0
construcao_ferramentas_iluminacao,"05-2018",41,5477.81
livros_importados,"04-2017",1,19.99
industria_comercio_e_negocios,"10-2017",5,2256.69
construcao_ferramentas_iluminacao,"01-2018",7,2392.99
fashion_roupa_feminina,"04-2017",1,64.9
moveis_quarto,"04-2017",5,858.96
portateis_casa_forno_e_cafe,"08-2017",2,109.06
cama_mesa_banho,"10-2016",8,478.99
fraldas_higiene,"05-2018",3,117.0
fashion_underwear_e_moda_praia,"10-2017",3,187.8
construcao_ferramentas_iluminacao,"10-2017",2,500.0
fashion_esporte,"04-2017",4,189.78
construcao_ferramentas_iluminacao,"11-2017",10,2199.48
fashion_esporte,"08-2018",1,69.9
cine_foto,"04-2018",5,521.74
moveis_sala,"03-2017",24,3324.0
artigos_de_natal,"07-2017",2,65.09
construcao_ferramentas_iluminacao,"07-2017",1,360.0
cine_foto,"01-2018",2,199.98
flores,"03-2018",3,89.67
market_place,"06-2018",7,556.46
portateis_cozinha_e_preparadores_de_alimentos,"08-2018",5,1838.5
construcao_ferramentas_iluminacao,"04-2018",47,4962.67
audio,"03-2017",14,1134.77
dvds_blu_ray,"07-2017",4,749.7
dvds_blu_ray,"04-2017",2,1434.9
portateis_cozinha_e_preparadores_de_alimentos,"05-2018",2,1958.0
cine_foto,"02-2018",2,227.99
moveis_escritorio,"01-2017",10,1444.35
livros_importados,"02-2018",3,325.0
cine_foto,"03-2018",7,711.79
construcao_ferramentas_iluminacao,"09-2017",1,229.0
construcao_ferramentas_ferramentas,"11-2017",5,269.5
artes,"02-2018",13,1251.71
construcao_ferramentas_iluminacao,"08-2017",2,589.0
musica,"03-2017",1,27.99
moveis_cozinha_area_de_servico_jantar_e_jardim,"05-2018",13,2310.09
pc_gamer,"07-2018",3,677.0
moveis_cozinha_area_de_servico_jantar_e_jardim,"04-2018",20,3165.47
alimentos_bebidas,"03-2017",5,110.8
flores,"12-2017",2,82.7
construcao_ferramentas_construcao,"03-2017",4,773.4
fashion_roupa_masculina,"10-2016",1,24.9
industria_comercio_e_negocios,"12-2017",9,1828.5
artigos_de_natal,"06-2017",3,184.7
fashion_calcados,"01-2018",9,666.7
agro_industria_e_comercio,"12-2017",11,5291.7
moveis_cozinha_area_de_servico_jantar_e_jardim,"09-2017",5,464.09
sinalizacao_e_seguranca,"05-2018",7,683.5
cine_foto,"08-2018",10,685.28
artes,"06-2017",10,421.7
fashion_roupa_feminina,"08-2018",3,129.97
eletrodomesticos_2,"08-2018",15,9882.76
portateis_casa_forno_e_cafe,"02-2018",5,3024.9
construcao_ferramentas_jardim,"02-2017",2,579.98
sinalizacao_e_seguranca,"03-2018",9,921.9
moveis_cozinha_area_de_servico_jantar_e_jardim,"06-2018",30,3667.43
casa_construcao,"03-2017",10,591.96
bebidas,"07-2017",3,273.97
eletrodomesticos,"04-2017",10,499.4
artes_e_artesanato,"07-2017",1,129.9
artigos_de_natal,"04-2018",12,275.15
audio,"06-2017",11,1671.0
portateis_casa_forno_e_cafe,"09-2017",1,640.99
casa_conforto,"02-2018",21,3012.76
fashion_esporte,"09-2017",5,384.6
industria_comercio_e_negocios,"08-2018",10,2364.69
fashion_underwear_e_moda_praia,"04-2017",4,98.79
audio,"04-2017",11,942.2
telefonia_fixa,"10-2016",5,704.88
portateis_casa_forno_e_cafe,"03-2018",7,7890.9
papelaria,"01-2017",14,1561.99
artes_e_artesanato,"05-2017",1,21.99
eletrodomesticos_2,"06-2017",6,1213.87
la_cuisine,"04-2017",1,24.0
artigos_de_festas,"10-2017",2,137.8
casa_conforto,"02-2017",3,414.66
agro_industria_e_comercio,"05-2018",8,3279.75
construcao_ferramentas_seguranca,"09-2017",5,1124.54
agro_industria_e_comercio,"07-2017",1,1180.0
livros_importados,"06-2018",9,468.17
livros_importados,"06-2017",2,99.0
seguros_e_servicos,"09-2017",1,100.0
livros_tecnicos,"01-2018",17,1176.55
fashion_esporte,"07-2017",1,69.9
industria_comercio_e_negocios,"02-2017",1,119.0
industria_comercio_e_negocios,"03-2017",2,238.0
fashion_calcados,"06-2018",10,1230.58
artes,"12-2017",3,115.25
fashion_calcados,"07-2018",5,820.19
artes,"04-2017",1,119.9
alimentos,"04-2017",8,491.3
fashion_roupa_feminina,"09-2017",4,355.7
industria_comercio_e_negocios,"06-2017",2,276.97
moveis_decoracao,"09-2016",2,72.89
casa_conforto_2,"01-2017",2,72.8
livros_interesse_geral,"01-2017",2,234.89
moveis_colchao_e_estofado,"03-2018",4,440.0
artigos_de_natal,"08-2018",11,564.37
artes,"09-2017",3,388.54
artes_e_artesanato,"05-2018",1,89.8
moveis_colchao_e_estofado,"07-2018",1,129.9
artigos_de_natal,"01-2018",10,851.5
fashion_esporte,"08-2017",2,265.8
fashion_roupa_masculina,"05-2017",4,608.9
dvds_blu_ray,"07-2018",1,83.99
fashion_bolsas_e_acessorios,"12-2016",1,10.9
moveis_quarto,"07-2018",10,1386.9
moveis_colchao_e_estofado,"11-2017",2,334.0
moveis_colchao_e_estofado,"08-2017",2,509.39
industria_comercio_e_negocios,"07-2017",2,245.96
dvds_blu_ray,"12-2017",1,119.9
artes,"03-2017",5,223.25
pcs,"04-2018",15,13774.92
moveis_quarto,"05-2017",9,2369.97
dvds_blu_ray,"04-2018",5,92.5
dvds_blu_ray,"06-2017",4,126.69
climatizacao,"07-2018",17,2657.86
livros_importados,"07-2018",8,402.78
pcs,"01-2017",1,2199.99
dvds_blu_ray,"08-2018",1,8.9
musica,"07-2018",3,849.3
sinalizacao_e_seguranca,"03-2017",1,75.0
market_place,"07-2018",4,186.78
la_cuisine,"10-2017",1,137.0
fashion_roupa_feminina,"01-2018",3,161.79
moveis_quarto,"07-2017",5,1206.99
la_cuisine,"11-2017",1,137.0
moveis_quarto,"02-2017",1,450.0
moveis_quarto,"11-2017",3,873.0
artigos_de_natal,"03-2018",12,854.95
fraldas_higiene,"10-2016",1,134.9
moveis_cozinha_area_de_servico_jantar_e_jardim,"06-2017",4,374.8
fashion_roupa_masculina,"12-2017",4,450.89
livros_importados,"11-2017",4,324.0
dvds_blu_ray,"05-2017",4,89.6
livros_interesse_geral,"10-2016",1,119.5
livros_tecnicos,"03-2017",2,75.0
livros_importados,"08-2017",1,61.0
fashion_underwear_e_moda_praia,"05-2017",7,283.5
climatizacao,"12-2017",3,668.8
construcao_ferramentas_seguranca,"08-2017",1,8.9
pet_shop,"10-2016",4,689.68
alimentos,"10-2016",1,79.9
telefonia_fixa,"09-2017",13,13692.91
musica,"10-2017",1,54.9
artigos_de_natal,"07-2018",8,509.56
flores,"05-2018",1,16.4
agro_industria_e_comercio,"09-2017",4,1993.99
agro_industria_e_comercio,"03-2017",2,81.99
fashion_calcados,"02-2017",3,107.05
tablets_impressao_imagem,"04-2018",1,52.0
construcao_ferramentas_iluminacao,"12-2017",2,176.0
tablets_impressao_imagem,"05-2018",1,49.9
la_cuisine,"05-2017",1,193.0
tablets_impressao_imagem,"10-2017",1,99.0
moveis_sala,"04-2017",12,2073.34
artes,"07-2018",21,1843.2
tablets_impressao_imagem,"09-2017",3,233.9
fashion_roupa_feminina,"11-2017",3,79.88
fashion_roupa_masculina,"07-2018",5,208.7
dvds_blu_ray,"09-2017",2,39.8
musica,"03-2018",2,323.97
dvds_blu_ray,"03-2018",2,49.8
dvds_blu_ray,"02-2017",1,14.9
flores,"06-2018",2,108.0
casa_conforto,"03-2018",21,2522.38
agro_industria_e_comercio,"02-2017",7,224.84
musica,"06-2017",4,1066.9
fashion_roupa_infanto_juvenil,"03-2018",2,79.98
fashion_underwear_e_moda_praia,"05-2018",6,207.4
musica,"07-2017",1,329.0
fraldas_higiene,"03-2018",6,163.0
industria_comercio_e_negocios,"05-2017",2,519.8
fraldas_higiene,"12-2017",2,76.0
fashion_roupa_infanto_juvenil,"10-2017",1,39.99
agro_industria_e_comercio,"01-2017",3,65.97
fashion_roupa_feminina,"03-2017",1,19.9
artigos_de_natal,"05-2018",6,524.53
artigos_de_natal,"08-2017",1,58.9
moveis_quarto,"01-2017",8,73.2
livros_importados,"12-2017",3,231.0
artes_e_artesanato,"04-2018",1,15.99
livros_tecnicos,"07-2017",2,528.0
construcao_ferramentas_ferramentas,"05-2017",2,803.9
construcao_ferramentas_ferramentas,"09-2017",3,916.89
moveis_colchao_e_estofado,"04-2017",1,109.4
casa_construcao,"02-2017",4,695.6
moveis_colchao_e_estofado,"07-2017",1,109.4
construcao_ferramentas_ferramentas,"04-2017",1,729.0
moveis_colchao_e_estofado,"09-2017",1,86.5
agro_industria_e_comercio,"08-2017",4,88.0
portateis_casa_forno_e_cafe,"05-2018",9,10161.6
artes,"08-2017",4,244.7
la_cuisine,"01-2018",1,112.0
musica,"04-2017",2,59.8
livros_importados,"08-2018",1,749.0
moveis_quarto,"06-2017",2,308.99
fashion_underwear_e_moda_praia,"06-2018",7,129.3
casa_conforto_2,"03-2017",3,342.88
fashion_underwear_e_moda_praia,"08-2018",2,219.9
bebidas,"06-2017",1,49.99
construcao_ferramentas_seguranca,"02-2017",1,379.0
portateis_casa_forno_e_cafe,"06-2018",3,3499.0
pcs,"02-2017",1,3549.0
dvds_blu_ray,"01-2018",2,49.8
eletronicos,"10-2016",2,1306.99
audio,"07-2017",7,771.69
fashion_roupa_infanto_juvenil,"05-2017",1,110.0
construcao_ferramentas_ferramentas,"12-2017",6,349.4
fashion_esporte,"04-2018",1,89.9
instrumentos_musicais,"01-2017",1,339.74
fashion_calcados,"10-2016",1,29.99
sinalizacao_e_seguranca,"05-2017",4,508.85
industria_comercio_e_negocios,"09-2017",2,219.98
musica,"01-2017",2,19.8
pc_gamer,"08-2018",1,219.0
fashion_roupa_feminina,"04-2018",5,174.95
fashion_roupa_feminina,"02-2018",1,29.99
fashion_roupa_masculina,"01-2017",1,126.9
livros_tecnicos,"02-2017",1,159.0
alimentos_bebidas,"06-2017",2,57.4
livros_importados,"04-2018",4,317.99
livros_importados,"05-2018",10,410.92
musica,"02-2018",2,244.97
livros_importados,"03-2018",3,259.0
musica,"01-2018",1,24.97
casa_conforto_2,"10-2017",5,64.5
casa_conforto_2,"11-2017",3,38.7
casa_conforto_2,"06-2018",2,25.8
artigos_de_festas,"01-2018",2,135.8
casa_conforto_2,"08-2017",3,38.7
livros_tecnicos,"04-2017",1,75.0
casa_conforto_2,"02-2018",3,38.7
fraldas_higiene,"01-2018",5,125.0
artigos_de_festas,"07-2017",1,69.9
casa_conforto_2,"09-2017",1,12.9
fashion_esporte,"11-2017",1,59.9
fraldas_higiene,"02-2018",4,100.0
casa_conforto_2,"07-2018",3,38.7
eletrodomesticos_2,"02-2017",1,15.99
artes,"07-2017",3,386.75
casa_conforto_2,"04-2018",1,12.9
casa_construcao,"08-2017",1,124.8
casa_conforto_2,"07-2017",1,12.9
fashion_roupa_feminina,"10-2016",1,54.9
casa_conforto_2,"04-2017",1,12.9
fashion_esporte,"12-2017",1,59.9
casa_conforto_2,"06-2017",1,12.9
eletrodomesticos_2,"04-2017",2,799.8
construcao_ferramentas_construcao,"01-2017",1,310.0
cine_foto,"11-2017",1,242.0
casa_conforto_2,"03-2018",1,34.99
fashion_roupa_masculina,"05-2018",1,129.99
bebidas,"04-2017",7,199.93
moveis_cozinha_area_de_servico_jantar_e_jardim,"09-2018",1,145.0
artigos_de_festas,"05-2018",4,100.7
fashion_calcados,"01-2017",1,34.9
la_cuisine,"04-2018",2,280.0
moveis_quarto,"12-2017",1,185.0
agro_industria_e_comercio,"06-2017",1,1390.0
seguros_e_servicos,"01-2017",1,183.29
fashion_roupa_feminina,"03-2018",4,119.96
portateis_casa_forno_e_cafe,"01-2018",1,369.99
artes,"11-2017",1,75.0
artigos_de_festas,"04-2018",2,43.8
telefonia,"09-2016",1,59.5
