dates,seller_category,count_sellers,total_per_month,percent_total
2017-01,new,227,227,100%
2017-02,churn,19,482,4%
2017-02,new,255,482,53%
2017-02,ongoing,208,482,43%
2017-03,churn,59,639,9%
2017-03,new,176,639,28%
2017-03,ongoing,404,639,63%
2017-04,churn,56,701,8%
2017-04,new,121,701,17%
2017-04,ongoing,524,701,75%
2017-05,churn,32,771,4%
2017-05,new,126,771,16%
2017-05,ongoing,613,771,80%
2017-06,churn,70,815,9%
2017-06,new,76,815,9%
2017-06,ongoing,669,815,82%
2017-07,churn,40,862,5%
2017-07,new,117,862,14%
2017-07,ongoing,705,862,82%
2017-08,churn,42,951,4%
2017-08,new,129,951,14%
2017-08,ongoing,780,951,82%
2017-09,churn,68,1037,7%
2017-09,new,128,1037,12%
2017-09,ongoing,841,1037,81%
2017-10,churn,63,1117,6%
2017-10,new,148,1117,13%
2017-10,ongoing,906,1117,81%
2017-11,churn,57,1245,5%
2017-11,new,191,1245,15%
2017-11,ongoing,997,1245,80%
2017-12,churn,104,1278,8%
2017-12,new,90,1278,7%
2017-12,ongoing,1084,1278,85%
2018-01,churn,75,1315,6%
2018-01,new,141,1315,11%
2018-01,ongoing,1099,1315,84%
2018-02,churn,86,1360,6%
2018-02,new,120,1360,9%
2018-02,ongoing,1154,1360,85%
2018-03,churn,94,1387,7%
2018-03,new,113,1387,8%
2018-03,ongoing,1180,1387,85%
2018-04,churn,89,1495,6%
2018-04,new,202,1495,14%
2018-04,ongoing,1204,1495,81%
2018-05,churn,136,1578,9%
2018-05,new,172,1578,11%
2018-05,ongoing,1270,1578,80%
2018-06,churn,156,1633,10%
2018-06,new,191,1633,12%
2018-06,ongoing,1286,1633,79%
2018-07,churn,194,1667,12%
2018-07,new,190,1667,11%
2018-07,ongoing,1283,1667,77%
2018-08,churn,350,1628,21%
2018-08,new,155,1628,10%
2018-08,ongoing,1123,1628,69%